network;sweep;n;VSS_RP_mean_pct;VSS_RP_median_pct;EVPI_RP_mean_pct;EVPI_RP_median_pct;RP_median;WS_median;EEV_nom_median;case_k;case_per_run;case_selection;bypass_multiplier;overdemand_threshold;overdemand_multiplier;case_p_fail;cost_repl_freq;cost_repl_line
sf;main;30;0.568;0.502;1.025;0.914;158682.0;156510.0;160024.0;1;1.0;line_all;;;;;;
sf;main;38;0.466;0.274;0.715;0.665;148141.0;146309.0;149114.0;1;1.0;line_consecutive;;;;;;
sf;main;30;0.462;0.41;0.875;0.763;149358.0;147869.0;150643.0;1;1.0;random;;;;;;
sf;main;30;0.463;0.425;0.897;0.909;153496.0;151828.0;155649.0;1;1.0;share_stop;;;;;;
sf;main;30;0.424;0.366;1.018;0.914;162234.0;160034.0;163666.0;1;2.0;line_consecutive;;;;;;
sf;main;30;0.354;0.185;0.645;0.551;145165.0;144306.0;145578.0;1;3.0;line_consecutive;;;;;;
sf;main;30;0.5;0.446;1.029;1.08;158565.0;155914.0;159392.0;1;5.0;line_consecutive;;;;;;
sf;main;30;0.289;0.185;0.726;0.511;144977.0;144143.0;145099.0;1;8.0;line_consecutive;;;;;;
sf;main;30;0.539;0.435;0.834;0.763;151554.0;149897.0;152587.0;2;1.0;line_all;;;;;;
sf;main;42;0.603;0.505;1.085;0.984;153860.0;152145.0;155649.0;2;1.0;line_consecutive;;;;;;
sf;main;30;0.554;0.459;0.917;0.753;149535.0;147822.0;151782.0;2;1.0;random;;;;;;
sf;main;30;0.508;0.434;0.961;0.914;153918.0;152097.0;155207.0;2;1.0;share_stop;;;;;;
sf;main;30;0.588;0.574;0.938;0.763;150008.0;149026.0;152306.0;3;1.0;line_all;;;;;;
sf;main;36;0.356;0.431;0.715;0.746;146942.0;145818.0;147407.0;3;1.0;line_consecutive;;;;;;
sf;main;30;0.474;0.481;0.791;0.746;147090.0;145993.0;147999.0;3;1.0;random;;;;;;
sf;main;30;0.447;0.269;0.755;0.763;151832.0;150092.0;153194.0;3;1.0;share_stop;;;;;;
sf;main;23;0.526;0.54;0.789;0.616;146727.0;145630.0;147656.0;4;1.0;line_consecutive;;;;;;
sf;bypass;30;0.336;0.348;0.48;0.455;131830.0;131625.0;131899.0;1;;;10.0;;;;;
sf;bypass;30;0.486;0.298;0.485;0.275;138868.0;138417.0;139049.0;1;;;20.0;;;;;
