property;line_group;value_1
line;1;9,13,1,29,17,28,30
line;1;30,28,17,29,1,13,9
line;2;9,20,18,29,17,28,30
line;2;30,28,17,29,18,20,9
line;3;2,15,8,17,7,6
line;3;6,7,17,8,15,2
line;4;2,25,8,17,7,6
line;4;6,7,17,8,25,2
line;5;3,17,29,18,20,9
line;5;9,20,18,29,17,3
line;6;3,17,29,1,13,9
line;6;9,13,1,29,17,3
line;7;4,15,8,17,7,6
line;7;6,7,17,8,15,4
line;8;4,25,8,17,7,6
line;8;6,7,17,8,25,4
line;9;6,7,17,8,15,10
line;9;10,15,8,17,7,6
line;10;6,22,11,8,15,10
line;10;10,15,8,11,22,6
line;11;10,24,15,8,17,7,6
line;11;6,7,17,8,15,24,10
line;12;6,7,14,1,13,9
line;12;9,13,1,14,7,6
line;13;6,7,14,19,13,9
line;13;9,13,19,14,7,6
line;14;9,13,1,29,17,11
line;14;11,17,29,1,13,9
line;15;9,20,18,29,17,11
line;15;11,17,29,18,20,9
line;16;9,13,1,29,17,16
line;16;16,17,29,1,13,9
line;17;9,20,18,29,17,16
line;17;16,17,29,18,20,9
line;18;9,13,1,14,7,22
line;18;22,7,14,1,13,9
line;19;9,13,19,14,7,22
line;19;22,7,14,19,13,9
line;20;10,4,12,18,1,14
line;20;14,1,18,12,4,10
line;21;10,4,12,18,23,1,14
line;21;14,1,23,18,12,4,10
line;22;11,7,14,1,13,9
line;22;9,13,1,14,7,11
line;23;14,19,18,12,4,10
line;23;10,4,12,18,19,14
line;24;16,7,14,1,13,9
line;24;9,13,1,14,7,16
line;25;2,4,12,18,1,14
line;25;14,1,18,12,4,2
line;26;2,4,12,18,23,1,14
line;26;14,1,23,18,12,4,2
line;27;5,15,12,18,20,9
line;27;9,20,18,12,15,5
line;28;5,25,15,12,18,20,9
line;28;9,20,18,12,15,25,5
line;29;6,7,17,29,26,12
line;29;12,26,29,17,7,6
line;30;6,16,17,29,26,12
line;30;12,26,29,17,16,6
line;31;6,7,17,8,21,24
line;31;24,21,8,17,7,6
line;32;6,7,17,8,15,24
line;32;24,15,8,17,7,6
line;33;9,13,1,26,8,5
line;33;5,8,26,1,13,9
line;34;9,20,23,26,8,5
line;34;5,8,26,23,20,9
line;35;10,4,12,18,1,27
line;35;27,1,18,12,4,10
line;36;10,4,12,18,23,1,27
line;36;27,1,23,18,12,4,10
line;37;12,26,29,17,7,22
line;37;22,7,17,29,26,12
line;38;14,19,18,12,4,2
line;38;2,4,12,18,19,14
line;39;14,7,17,8,21,24
line;39;24,21,8,17,7,14
line;40;14,1,18,12,15,24
line;40;24,15,12,18,1,14
line;41;27,1,29,17,28,30
line;41;30,28,17,29,1,27
line;42;27,1,26,8,28,30
line;42;30,28,8,26,1,27
line;43;30,3,17,29,1,27
line;43;27,1,29,17,3,30
line;44;2,4,12,18,1,27
line;44;27,1,18,12,4,2
line;45;2,4,12,18,23,1,27
line;45;27,1,23,18,12,4,2
line;46;9,13,18,12,4,10
line;46;10,4,12,18,13,9
line;47;9,20,18,12,4,10
line;47;10,4,12,18,20,9
line;48;13,1,29,17,28,30
line;48;30,28,17,29,1,13
line;49;13,18,29,17,28,30
line;49;30,28,17,29,18,13
line;50;24,15,12,18,1,27
line;50;27,1,18,12,15,24
line;51;24,15,12,18,23,1,27
line;51;27,1,23,18,12,15,24
line;52;2,4,12,18,20,9
line;52;9,20,18,12,4,2
line;53;2,4,12,18,13,9
line;53;9,13,18,12,4,2
line;54;9,13,1,26,8,21
line;54;21,8,26,1,13,9
line;55;9,20,23,26,8,21
line;55;21,8,26,23,20,9
line;56;9,13,18,12,15,24
line;56;24,15,12,18,13,9
line;57;9,20,18,12,15,24
line;57;24,15,12,18,20,9
line;58;9,13,18,12,15,25
line;58;25,15,12,18,13,9
line;59;9,20,18,12,15,25
line;59;25,15,12,18,20,9
line;60;9,13,1,29,17,28
line;60;28,17,29,1,13,9
line;61;9,20,18,29,17,28
line;61;28,17,29,18,20,9
line;62;20,18,29,17,28,30
line;62;30,28,17,29,18,20
line;63;20,23,26,8,28,30
line;63;30,28,8,26,23,20
line;64;21,15,12,18,20,9
line;64;9,20,18,12,15,21
line;65;21,8,29,18,20,9
line;65;9,20,18,29,8,21
line;66;30,3,17,29,18,20
line;66;20,18,29,17,3,30
line;67;19,1,29,17,28,30
line;67;30,28,17,29,1,19
line;68;19,1,26,8,28,30
line;68;30,28,8,26,1,19
line;69;30,3,17,29,1,19
line;69;19,1,29,17,3,30
