source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;case_k;case_per_run;case_variants;case_selection;case_p_fail;demand_scale
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.05;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.05;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.1;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.1;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.2;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.2;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.3;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.3;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.4;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.4;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.5;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.5;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.6;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.6;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.7;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.7;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.8;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.8;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.9;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.9;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;30;line_consecutive;0.95;0.0368
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;12000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;2;1;30;line_consecutive;0.95;0.0368
