source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;case_k;case_per_run;case_variants;case_selection;case_p_fail
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;100;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;1;200;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;3;1;150;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;4;1;100;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;5;1;80;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;6;1;60;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;2;50;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;3;30;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;2;40;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;3;25;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;3;2;25;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.3
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.7
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;1;60;line_consecutive;0.3
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;1;60;line_consecutive;0.7
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;1;30;line_all;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;2;1;30;random;0.5
