source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1000;1000;1;1;100;line_consecutive;0.5;1000;0;0;11-12;1,7,8
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1001;1001;1;1;100;line_consecutive;0.5;1001;0;1;10-11;1,7,10
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1002;1002;1;1;100;line_consecutive;0.5;1002;0;2;10-16;1,10
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1003;1003;1;1;100;line_consecutive;0.5;1003;0;3;16-18;1
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1004;1004;1;1;100;line_consecutive;0.5;1004;0;4;2-6;2
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1005;1005;1;1;100;line_consecutive;0.5;1005;0;5;6-8;2
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1006;1006;1;1;100;line_consecutive;0.5;1006;0;6;8-16;2,10,13
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1007;1007;1;1;100;line_consecutive;0.5;1007;0;7;16-17;2,13
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1008;1008;1;1;100;line_consecutive;0.5;1008;0;8;17-19;2,13,14
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1009;1009;1;1;100;line_consecutive;0.5;1009;0;9;19-20;2
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1010;1010;1;1;100;line_consecutive;0.5;1010;0;10;3-4;3,4
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1011;1011;1;1;100;line_consecutive;0.5;1011;0;11;4-5;3
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1012;1012;1;1;100;line_consecutive;0.5;1012;0;12;5-9;3,9
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1013;1013;1;1;100;line_consecutive;0.5;1013;0;13;8-9;3,7
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1014;1014;1;1;100;line_consecutive;0.5;1014;0;14;7-8;3,7,11
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1015;1015;1;1;100;line_consecutive;0.5;1015;0;15;7-18;3,11
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1016;1016;1;1;100;line_consecutive;0.5;1016;0;16;1-3;4,8,12
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1017;1017;1;1;100;line_consecutive;0.5;1017;0;17;4-11;4
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1018;1018;1;1;100;line_consecutive;0.5;1018;0;18;11-14;4,8,10
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1019;1019;1;1;100;line_consecutive;0.5;1019;0;19;14-23;4,10
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1020;1020;1;1;100;line_consecutive;0.5;1020;0;20;23-24;4
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1021;1021;1;1;100;line_consecutive;0.5;1021;0;21;10-15;5,9
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1022;1022;1;1;100;line_consecutive;0.5;1022;0;22;15-22;5,13
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1023;1023;1;1;100;line_consecutive;0.5;1023;0;23;22-23;5
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1024;1024;1;1;100;line_consecutive;0.5;1024;0;24;13-24;6
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1025;1025;1;1;100;line_consecutive;0.5;1025;0;25;21-24;6
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1026;1026;1;1;100;line_consecutive;0.5;1026;0;26;20-21;6
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1027;1027;1;1;100;line_consecutive;0.5;1027;0;27;9-10;7,9
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1028;1028;1;1;100;line_consecutive;0.5;1028;0;28;3-12;8,12
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1029;1029;1;1;100;line_consecutive;0.5;1029;0;29;5-6;9
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1030;1030;1;1;100;line_consecutive;0.5;1030;0;30;15-19;9,13,14
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1031;1031;1;1;100;line_consecutive;0.5;1031;0;31;20-22;11
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1032;1032;1;1;100;line_consecutive;0.5;1032;0;32;18-20;11
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1033;1033;1;1;100;line_consecutive;0.5;1033;0;33;12-13;12
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1034;1034;1;1;100;line_consecutive;0.5;1034;0;34;1-2;12
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1035;1035;1;1;100;line_consecutive;0.5;1035;0;35;21-22;13
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1036;1036;1;1;100;line_consecutive;0.5;1036;0;36;14-15;14
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1037;1037;1;1;100;line_consecutive;0.5;1037;0;37;10-17;14
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1038;1038;2;1;200;line_consecutive;0.5;1038;1;0;10-11,11-12;1,7
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1039;1039;2;1;200;line_consecutive;0.5;1039;1;1;10-11,10-16;1,10
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1040;1040;2;1;200;line_consecutive;0.5;1040;1;2;10-16,16-18;1
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1041;1041;2;1;200;line_consecutive;0.5;1041;1;3;2-6,6-8;2
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1042;1042;2;1;200;line_consecutive;0.5;1042;1;4;6-8,8-16;2
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1043;1043;2;1;200;line_consecutive;0.5;1043;1;5;8-16,16-17;2,13
lintim;SiouxFalls;SiouxFalls;bounds;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1044;1044;2;1;200;line_consecutive;0.5;1044;1;6;16-17,17-19;2,13
