source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;case_k;case_per_run;case_variants;case_selection;case_p_fail
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;100;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;300;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1;1;5;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;True;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1;1;5;line_consecutive;0.5
