source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1000;1000;1;1;5;line_consecutive;0.5;1000;0;0;12-13;12
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1001;1001;1;1;5;line_consecutive;0.5;1001;0;1;20-21;6
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1002;1002;1;1;5;line_consecutive;0.5;1002;0;2;14-23;4,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1003;1003;1;1;5;line_consecutive;0.5;1003;0;3;22-23;5
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;10;50;10;10;16;1004;1004;1;1;5;line_consecutive;0.5;1004;0;4;11-14;4,8,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1005;1005;1;1;5;line_consecutive;0.5;1005;1;0;5-6;9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1006;1006;1;1;5;line_consecutive;0.5;1006;1;1;23-24;4
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1007;1007;1;1;5;line_consecutive;0.5;1007;1;2;11-14;4,8,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1008;1008;1;1;5;line_consecutive;0.5;1008;1;3;22-23;5
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1009;1009;1;1;5;line_consecutive;0.5;1009;1;4;10-17;14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1010;1010;1;1;5;line_consecutive;0.5;1010;2;0;16-17;2,13
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1011;1011;1;1;5;line_consecutive;0.5;1011;2;1;6-8;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1012;1012;1;1;5;line_consecutive;0.5;1012;2;2;19-20;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1013;1013;1;1;5;line_consecutive;0.5;1013;2;3;7-8;3,7,11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1014;1014;1;1;5;line_consecutive;0.5;1014;2;4;21-22;13
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1015;1015;1;1;5;line_consecutive;0.5;1015;3;0;10-15;5,9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1016;1016;1;1;5;line_consecutive;0.5;1016;3;1;23-24;4
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1017;1017;1;1;5;line_consecutive;0.5;1017;3;2;5-6;9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1018;1018;1;1;5;line_consecutive;0.5;1018;3;3;7-18;3,11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1019;1019;1;1;5;line_consecutive;0.5;1019;3;4;18-20;11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;100;50;10;10;16;1020;1020;1;1;5;line_consecutive;0.5;1020;4;0;10-11;1,7,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;100;50;10;10;16;1021;1021;1;1;5;line_consecutive;0.5;1021;4;1;10-16;1,10
