source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;case_k;case_per_run;case_variants;case_selection;case_p_fail
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.05
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.1
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.2
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.3
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.4
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.5
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.6
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.7
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.8
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.9
lintim;SiouxFalls;SiouxFalls;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;50;0.75;2;55;50;10;10;16;1;1;38;line_consecutive;0.95
