run;scenario;group;cand_id;kind;start;end;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq
1;0;1;nominal;nominal;;;;0,1,4,5;4.0;0.0;0.0
1;0;1;;;;;;8,2,5;6.0;8.0;8000.0
1;0;2;nominal;nominal;;;;2,3,6,7;4.0;0.0;0.0
1;0;2;;;;;;2,7;2.0;2.0;2000.0
1;0;3;nominal;nominal;;;;0,1,6,7;4.0;0.0;0.0
1;0;3;;;;;;8,2,7;6.0;8.0;8000.0
1;1;1;nominal;nominal;;;;0,1,4,5;4.0;0.0;0.0
1;1;1;;;;;;0,5;2.0;2.0;2000.0
1;1;2;nominal;nominal;;;;2,3,6,7;4.0;0.0;0.0
1;1;2;;;;;;2,7;2.0;2.0;2000.0
1;1;3;nominal;nominal;;;;0,1,6,7;4.0;0.0;0.0
1;1;3;;;;;;0,7;2.0;2.0;2000.0
