source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;cand_detour_count;cand_ksp_count;status_code;status;objective;runtime_s;cost_time;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.2;0.029999971389770508;5.2;8.0;800.0;406.0;1407.2;0.0;1000.0;1000.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.1999999999998;0.04999995231628418;5.2;8.0;800.0;406.0;1407.1999999999998;0.0;1000.0;1000.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;20;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.2;0.003999948501586914;5.2;8.0;800.0;406.0;1407.2;0.0;1000.0;1000.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;20;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.1999999999998;0.04800009727478027;5.2;8.0;800.0;406.0;1407.1999999999998;0.0;1000.0;1000.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;50;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.2;0.003999948501586914;5.2;8.0;800.0;406.0;1407.2;0.0;1000.0;1000.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;50;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.1999999999998;0.04800009727478027;5.2;8.0;800.0;406.0;1407.1999999999998;0.0;1000.0;1000.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;100;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.2;0.004000186920166016;5.2;8.0;800.0;406.0;1407.2;0.0;1000.0;1000.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;100;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.1999999999998;0.04700016975402832;5.2;8.0;800.0;406.0;1407.1999999999998;0.0;1000.0;1000.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;200;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.2;0.0019998550415039062;5.2;8.0;800.0;406.0;1407.2;0.0;1000.0;1000.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;200;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.1999999999998;0.04900002479553223;5.2;8.0;800.0;406.0;1407.1999999999998;0.0;1000.0;1000.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;500;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.2;0.003999948501586914;5.2;8.0;800.0;406.0;1407.2;0.0;1000.0;1000.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;500;50;12;8;2;100;500;-5;2;2;;OPTIMAL;1813.1999999999998;0.05200004577636719;5.2;8.0;800.0;406.0;1407.1999999999998;0.0;1000.0;1000.0
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;31319.76999828691;0.09500002861022949;7217.445998394964;2222.9239998919484;12791.8;10276.969998287705;21042.799999999206;7407.599999999999;1680.0;9087.599999999999
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;10;50;12;8;2;100;500;-5;2;2;;OPTIMAL;28498.871999999996;32.348999977111816;8391.88;2512.9919999999997;15258.0;12980.920000000002;15517.952000000003;2336.0;0.0;2336.0
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;20;50;12;8;2;100;500;-5;2;2;;OPTIMAL;50654.252;0.6710000038146973;15517.564000000008;3878.688000000001;18406.0;17680.990000000005;32973.261999999995;6504.0;6347.999999999999;12852.0
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;20;50;12;8;2;100;500;-5;2;2;;OPTIMAL;48337.29599999937;106.2260000705719;17012.26000000001;4079.035999999366;19794.0;20234.590000000004;28102.705999999365;1103.9999999999998;6347.999999999999;7451.999999999999
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;50;50;12;8;2;100;500;-5;2;2;;OPTIMAL;84965.47400000211;3.065000057220459;31536.638000002;7434.036000000118;25915.6;30761.63000000212;54203.844;7383.199999999999;12695.999999999998;20079.199999999997
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;50;50;12;8;2;100;500;-5;2;2;;OPTIMAL;77629.74378803061;332.1769998073578;32352.764087345815;7652.980017473131;27788.0;33132.08;44497.66378803061;3487.9999999999995;6347.999683211664;9835.999683211663
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;100;50;12;8;2;100;500;-5;2;2;;OPTIMAL;129387.96399999999;7.351999998092651;57915.06399999999;12906.5;37600.799999999996;51863.649999999994;77524.314;9949.599999999999;11015.999999999998;20965.6
lintim;SiouxFalls;SiouxFalls;integrated;False;True;True;False;False;0;1;2;50;100;50;12;8;2;100;500;-5;2;2;;OPTIMAL;126560.12399999998;966.180999994278;58503.796;12976.928000000002;40891.8;53910.20999999998;72649.91400000003;7839.5999999999985;6347.999999999999;14187.599999999999
lintim;SiouxFalls;SiouxFalls;separated;False;True;True;False;False;0;1;2;50;200;50;12;8;2;100;500;-5;2;2;;OPTIMAL;191723.89;8.275000095367432;89941.62600000002;18870.064000000002;47833.40000000001;75802.74000000002;115921.15000000001;22350.8;12728.0;35078.8
