line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;17680.990000000005;18855.92;19467.519999999997
cost_time;;6628.870000000003;7918.379999999999;8198.04
cost_wait;;1819.1200000000001;1704.5400000000002;2036.4799999999998
cost_oper;;9233.0;9233.0;9233.0
cost_repl;;;0.0;0.0
0;1;1;1.0;1.0
1;1;1;1.0;1.0
2;2;4;4.0;4.0
3;2;4;4.0;4.0
4;3;0;0.0;0.0
5;3;0;0.0;0.0
6;4;2;2.0;2.0
7;4;2;2.0;2.0
8;5;1;1.0;1.0
9;5;1;1.0;1.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;0.0
13;7;0;0.0;0.0
14;8;1;1.0;1.0
15;8;1;1.0;1.0
16;9;0;0.0;0.0
17;9;0;0.0;0.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;0.0
21;11;0;0.0;0.0
22;12;0;0.0;0.0
23;12;0;0.0;0.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;1;1.0;1.0
27;14;1;1.0;1.0
