edge_id;edge_length;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5
0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
