source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;status_code;status;objective;runtime_s;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;6532.0;0.07899999618530273;344.0;344.0;0.0;0.0;268.0;4960.0;2706.0;3826.0;960.0;0.0;960.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;7092.0;0.006000041961669922;340.8;340.8;0.0;0.0;271.2;5040.0;2706.0;4386.0;1440.0;0.0;1440.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;20;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;6532.0;0.07799983024597168;344.0;344.0;0.0;0.0;268.0;4960.0;2706.0;3826.0;960.0;0.0;960.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;20;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;7092.0;0.00599980354309082;340.8;340.8;0.0;0.0;271.2;5040.0;2706.0;4386.0;1440.0;0.0;1440.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;50;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;6532.0;0.07800006866455078;344.0;344.0;0.0;0.0;268.0;4960.0;2706.0;3826.0;960.0;0.0;960.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;50;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;7092.0;0.006999969482421875;340.8;340.8;0.0;0.0;271.2;5040.0;2706.0;4386.0;1440.0;0.0;1440.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;100;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;6532.0;0.07500004768371582;344.0;344.0;0.0;0.0;268.0;4960.0;2706.0;3826.0;960.0;0.0;960.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;100;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;7092.0;0.005000114440917969;340.8;340.8;0.0;0.0;271.2;5040.0;2706.0;4386.0;1440.0;0.0;1440.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;200;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;6532.0;0.07399988174438477;344.0;344.0;0.0;0.0;268.0;4960.0;2706.0;3826.0;960.0;0.0;960.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;200;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;7092.0;0.004999876022338867;340.8;340.8;0.0;0.0;271.2;5040.0;2706.0;4386.0;1440.0;0.0;1440.0
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;50;500;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;6532.0;0.07599997520446777;344.0;344.0;0.0;0.0;268.0;4960.0;2706.0;3826.0;960.0;0.0;960.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;50;500;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;7092.0;0.003999948501586914;340.8;340.8;0.0;0.0;271.2;5040.0;2706.0;4386.0;1440.0;0.0;1440.0
