line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;22121.4;;28647.000000000004;;35695.279999999984;
cost_time;;12395.300000000001;;15642.700000000003;;13655.579999999989;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;2995.699999999999;;3905.8999999999996;;3277.2999999999925;
cost_oper;;6730.4;;6138.400000000001;;6682.4;
cost_repl;;;;2960.0;;12080.0;
0;1;2;12,11,10,16,18;0.0;12,11,10,16,18;2.0;12,11,10,16,18
1;1;2;18,16,10,11,12;0.0;18,16,10,11,12;2.0;18,16,10,11,12
2;2;3;2,6,8,16,17,19,20;3.0;2,6,8,16,17,19,20;2.0;2,6,8,9,10,16,17,19,20
3;2;3;20,19,17,16,8,6,2;3.0;20,19,17,16,8,6,2;2.0;20,19,17,16,18,7,8,6,2
4;3;1;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18
5;3;1;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3
6;4;3;1,3,4,11,14,23,24;3.0;1,3,4,11,14,23,24;3.0;1,3,4,11,14,23,24
7;4;3;24,23,14,11,4,3,1;3.0;24,23,14,11,4,3,1;3.0;24,23,14,11,4,3,1
8;5;2;10,15,22,23;2.0;10,15,22,23;2.0;10,15,22,23
9;5;2;23,22,15,10;2.0;23,22,15,10;2.0;23,22,15,10
10;6;1;13,24,21,20;1.0;13,24,21,20;1.0;13,24,21,20
11;6;1;20,21,24,13;1.0;20,21,24,13;1.0;20,21,24,13
12;7;0;12,11,10,9,8,7;0.0;12,11,4,5,9,8,7;0.0;12,11,10,9,8,7
13;7;0;7,8,9,10,11,12;0.0;7,8,9,5,4,11,12;0.0;7,8,9,10,11,12
14;8;2;1,3,12,11,14;2.0;1,3,12,11,14;2.0;1,3,12,11,14
15;8;2;14,11,12,3,1;2.0;14,11,12,3,1;2.0;14,11,12,3,1
16;9;4;6,5,9,10,15,19;4.0;6,5,9,10,15,19;4.0;6,5,9,10,15,19
17;9;4;19,15,10,9,5,6;4.0;19,15,10,9,5,6;4.0;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23;0.0;8,16,10,15,14,23;0.0;8,9,10,11,14,23
19;10;0;23,14,11,10,16,8;0.0;23,14,15,10,16,8;0.0;23,14,11,10,9,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21
25;13;0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8
26;14;2;14,15,19,17,10;2.0;14,15,19,17,10;2.0;14,15,19,17,10
27;14;2;10,17,19,15,14;2.0;10,17,19,15,14;2.0;10,17,19,15,14
