edge_id;edge_len;flow_total;flow_line_2;flow_line_3;flow_line_6;flow_line_7;flow_line_8;flow_line_10;flow_line_11;flow_line_14;flow_line_15;flow_line_27
18;1.2;129.97;129.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;1.2;85.47999999999999;85.47999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;2.6;43.31;0.0;0.0;0.0;0.0;43.31;0.0;0.0;0.0;0.0;0.0
36;2.33;40.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.56
39;1.6;44.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.86;0.0;0.0
42;1.6;41.81;0.0;0.0;0.0;0.0;0.0;41.81;0.0;0.0;0.0;0.0
45;2.6;82.39;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;7.390000000000001;0.0
47;1.8;43.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.31
48;1.2;54.8;0.0;0.0;54.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;1.2;36.20999999999999;36.20999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;1.2;40.56;0.0;40.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;1.8;40.27;0.0;0.0;0.0;0.0;0.0;0.0;40.27;0.0;0.0;0.0
75;1.6;82.08000000000001;0.0;0.0;0.0;82.08000000000001;0.0;0.0;0.0;0.0;0.0;0.0
