edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_6;flow_line_7;flow_line_10;flow_line_11
18;1.2;129.97;0.0;0.0;129.97;0.0;0.0;0.0;0.0
26;1.2;85.47999999999999;0.0;0.0;85.47999999999999;0.0;0.0;0.0;0.0
30;1.8;43.31;0.0;43.31;0.0;0.0;0.0;0.0;0.0
34;2.0;40.56;40.56;0.0;0.0;0.0;0.0;0.0;0.0
39;1.6;44.86;44.86;0.0;0.0;0.0;0.0;0.0;0.0
42;1.6;41.81;0.0;0.0;0.0;0.0;0.0;41.81;0.0
45;2.6;39.08;0.0;0.0;0.0;0.0;39.08;0.0;0.0
48;1.2;54.8;0.0;0.0;0.0;54.8;0.0;0.0;0.0
54;1.2;36.21;0.0;0.0;36.21;0.0;0.0;0.0;0.0
70;1.8;40.27;0.0;0.0;0.0;0.0;0.0;0.0;40.27
75;1.6;82.08000000000001;0.0;0.0;0.0;0.0;82.08000000000001;0.0;0.0
