edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_6;flow_line_7;flow_line_8;flow_line_10;flow_line_11;flow_line_14;flow_line_16;flow_line_22;flow_line_26;flow_line_27
12;2.4;33.57;0.0;0.0;0.0;0.0;0.0;33.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;92.86000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.86000000000004;0.0;0.0;0.0
16;1.2;92.86000000000004;0.0;0.0;0.0;0.0;17.860000000000042;0.0;0.0;0.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0
18;1.2;100.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;33.57;0.0;0.0;0.0;0.0;0.0;33.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2.0;44.49000000000004;0.0;0.0;0.0;0.0;44.49000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;1.2;70.14;0.0;0.0;70.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;1.2;48.370000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.370000000000005;0.0;0.0;0.0
30;1.8;43.309999999999995;0.0;43.309999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;1.8;57.94;57.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;2.0;82.70000000000002;82.70000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;2.33;65.86999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.86999999999986
39;1.6;107.11000000000001;69.61000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0
4;1.4;62.89;0.0;0.0;62.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;5.4;4.310000000000009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.310000000000009;0.0;0.0
42;1.6;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0
44;2.6;4.310000000000009;0.0;0.0;0.0;0.0;0.0;4.310000000000009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;2.6;39.08;0.0;0.0;0.0;0.0;0.0;0.0;39.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;1.8;28.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.24;0.0
47;1.8;9.33999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.33999999999999
48;1.2;68.44999999999999;0.0;0.0;0.0;0.0;0.0;68.44999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;2.0;9.33999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.33999999999999
52;1.2;28.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;2.0;33.34;0.0;33.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;1.4;28.79;0.0;0.0;0.0;28.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;1.6;33.57;0.0;0.0;0.0;0.0;0.0;33.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;2.8;38.12999999999999;0.0;0.0;0.0;38.12999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;2.0;9.33999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.33999999999999;0.0;0.0;0.0;0.0;0.0;0.0
70;1.8;30.930000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.930000000000014;0.0;0.0;0.0;0.0;0.0
75;1.6;100.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
