edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_21;flow_line_22;flow_line_23;flow_line_24;flow_line_25;flow_line_26;flow_line_27
10;1.8;112.49999999999999;0.0;0.0;0.0;0.0;112.49999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.8;60.579999999986924;0.0;0.0;0.0;0.0;0.0;60.579999999986924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2.4;224.99999999999997;0.0;0.0;0.0;0.0;0.0;0.0;224.99999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2.4;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2.0;50.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;179.22000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;179.22000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1.2;298.82;0.0;0.0;0.0;0.0;112.49999999999214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.32000000000784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;1.2;24.950000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.950000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;1.2;217.14999999999998;0.0;0.0;217.14999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1.2;47.76;0.0;0.0;0.0;47.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;172.01999999999467;0.0;0.0;0.0;0.0;0.0;0.0;163.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.269999999994678;0.0;0.0;0.0;0.0
20;2.0;48.019999999999996;0.0;0.0;0.0;0.0;0.0;48.019999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;1.2;19.870000000000005;0.0;0.0;0.0;0.0;19.870000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;1.2;37.69;0.0;0.0;0.0;0.0;0.0;37.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2.0;35.85000000000001;0.0;0.0;0.0;0.0;0.0;8.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.79000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2.0;149.9999999999923;0.0;0.0;0.0;0.0;112.49999999999216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.50000000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;1.2;234.27;0.0;0.0;187.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.77000000000002;0.0;0.0;0.0
