edge_id;direction;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_16;flow_line_17;flow_line_22;flow_line_23;flow_line_26;flow_line_27
1;2-1;5.4;7.819999999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.819999999999993;0.0;0.0
7;4-11;2.4;108.55;0.0;0.0;0.0;0.0;108.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;6-5;2.0;178.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;178.85;0.0;0.0;0.0;0.0;0.0
9;5-9;1.2;178.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;178.85;0.0;0.0;0.0;0.0;0.0
10;6-8;1.2;100.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1-3;1.4;107.33;0.0;0.0;0.0;0.0;88.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.060000000000002;0.0;0.0
11;7-8;2.0;45.01999999999999;0.0;0.0;0.0;45.01999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;18-7;1.2;45.01999999999999;0.0;0.0;0.0;45.01999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;8-9;2.0;25.65;0.0;0.0;25.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;9-8;2.0;21.920000000000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.920000000000016;0.0;0.0;0.0;0.0;0.0;0.0
15;9-10;1.2;184.79000000000002;0.0;0.0;47.23000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;137.56;0.0;0.0;0.0;0.0;0.0
15;10-9;1.2;42.27000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.920000000000016;0.0;20.35;0.0;0.0;0.0;0.0
16;10-11;1.8;90.11000000000001;0.0;90.11000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;11-10;1.8;187.49999999999997;149.99999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0
17;10-15;2.6;45.2;0.0;0.0;0.0;0.0;0.0;0.0;45.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;15-10;2.6;8.469999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.469999999999995;0.0;0.0;0.0;0.0
18;10-16;2.0;224.99999999999997;149.99999999999997;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;16-10;2.0;46.420000000000016;0.0;46.420000000000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;10-17;2.33;84.03000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.03000000000003
20;12-11;1.6;189.45;151.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0
3;2-6;1.4;100.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;13-12;5.4;19.879999999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.879999999999992;0.0;0.0;0.0
22;13-24;1.6;41.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;11-14;2.6;49.06;0.0;0.0;0.0;0.0;49.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;14-11;2.6;52.49;0.0;0.0;0.0;0.0;0.0;52.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;14-15;1.8;31.989999999999966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.989999999999966;0.0
24;15-14;1.8;5.4600000000000115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4600000000000115
25;14-23;1.2;137.56000000000003;0.0;0.0;0.0;0.0;137.56000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;15-19;2.0;23.51999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.51999999999997;0.0
26;19-15;2.0;10.290000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.290000000000003;0.0;0.0;0.0;0.0
27;15-22;1.2;100.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;16-17;1.2;55.819999999999986;0.0;0.0;55.819999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;17-16;1.2;97.85;0.0;0.0;0.0;97.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;16-18;2.0;24.81999999999999;0.0;0.0;0.0;24.81999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;18-16;2.0;33.34;0.0;33.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;19-17;1.4;125.31;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.31;0.0
4;3-4;1.6;112.5;0.0;0.0;0.0;0.0;112.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;20-19;2.8;65.27000000000001;0.0;0.0;0.0;65.27000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;21-20;2.0;10.290000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.290000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;21-24;1.8;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;22-23;1.8;67.23999999999998;0.0;0.0;0.0;0.0;0.0;0.0;67.23999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;23-22;1.8;37.970000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.970000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
