edge_id;direction;edge_len;flow_total;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_26;flow_line_27
6;4-5;1.8;89.19;0.0;0.0;89.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;5-4;1.8;68.89000000000001;0.0;0.0;0.0;68.89000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;4-11;2.4;150.0;0.0;0.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;6-5;2.0;86.67000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.67000000000002;0.0;0.0;0.0
9;5-9;1.2;151.32000000000002;0.0;0.0;76.32000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0
9;9-5;1.2;44.35000000000001;0.0;0.0;0.0;44.35000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;6-8;1.2;200.0;200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1-3;1.4;99.51;0.0;0.0;0.0;0.0;99.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;7-8;2.0;53.540000000000006;0.0;0.0;0.0;53.540000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;18-7;1.2;53.540000000000006;0.0;0.0;0.0;53.540000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;8-9;2.0;22.26;0.0;0.0;0.0;22.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;9-8;2.0;62.92999999999999;0.0;0.0;62.92999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;8-16;1.2;200.0;200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;16-8;1.2;47.08000000000001;0.0;47.08000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;9-10;1.2;90.60000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.60000000000001;0.0;0.0;0.0
15;10-9;1.2;64.36000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.36000000000001;0.0;0.0
17;10-15;2.6;66.42;0.0;0.0;0.0;0.0;0.0;0.0;66.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;15-10;2.6;44.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;10-17;2.33;87.76999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.76999999999998
19;17-10;2.33;24.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.16;0.0
20;12-11;1.6;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
3;2-6;1.4;107.82;107.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;13-24;1.6;61.68999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.68999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;11-14;2.6;126.14;0.0;0.0;0.0;0.0;96.63;0.0;0.0;0.0;0.0;0.0;29.51;0.0;0.0;0.0;0.0;0.0
23;14-11;2.6;80.17999999999999;0.0;0.0;0.0;0.0;0.0;80.17999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;14-15;1.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
24;15-14;1.8;21.219999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.219999999999995
25;14-23;1.2;154.57999999999998;0.0;0.0;0.0;0.0;154.57999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;23-14;1.2;19.87999999999999;0.0;0.0;0.0;0.0;0.0;19.87999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;15-19;2.0;78.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.119999999999994;0.0;75.00000000000001;0.0
27;15-22;1.2;95.17;0.0;0.0;0.0;0.0;0.0;0.0;95.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;22-15;1.2;22.479999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.479999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;16-17;1.2;95.11999999999999;95.11999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;17-16;1.2;171.32999999999998;0.0;171.32999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;19-17;1.4;179.91000000000003;0.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.910000000000025;0.0
4;3-4;1.6;174.25;0.0;0.0;50.510000000000005;0.0;123.74000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;20-19;2.8;54.980000000000004;0.0;54.980000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;21-24;1.8;60.290000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.290000000000006;0.0;0.0;0.0;0.0;0.0;0.0
37;22-23;1.8;72.7;0.0;0.0;0.0;0.0;0.0;0.0;72.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;23-22;1.8;70.74000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.74000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;24-23;1.6;153.54999999999998;0.0;0.0;0.0;0.0;0.0;153.54999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;12-3;2.4;50.50999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.50999999999999;0.0;0.0;0.0;0.0
