edge_id;direction;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_16;flow_line_17;flow_line_26;flow_line_27
7;4-11;2.4;119.79;0.0;0.0;0.0;0.0;119.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;6-5;2.0;136.67000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.67000000000002;0.0;0.0;0.0
9;5-9;1.2;136.67000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.67000000000002;0.0;0.0;0.0
10;6-8;1.2;150.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1-3;1.4;99.51;0.0;0.0;0.0;0.0;99.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;8-9;2.0;75.65;0.0;0.0;75.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;9-8;2.0;66.93999999999896;0.0;0.0;0.0;66.93999999999896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;9-10;1.2;192.61;0.0;0.0;107.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.32000000000001;0.0;0.0;0.0
15;10-9;1.2;87.28999999999897;0.0;0.0;0.0;66.93999999999896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.35;0.0;0.0
16;10-11;1.8;108.01;0.0;108.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;11-10;1.8;166.26999999999998;166.26999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;10-15;2.6;27.3;0.0;0.0;0.0;0.0;0.0;0.0;27.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;15-10;2.6;21.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.88;0.0;0.0;0.0;0.0;0.0;0.0
18;10-16;2.0;262.5;150.0;0.0;112.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;16-10;2.0;91.43999999999899;0.0;22.26;0.0;69.17999999999898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;10-17;2.33;46.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.53
20;12-11;1.6;150.51;150.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;2-6;1.4;107.82;0.0;0.0;107.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;13-24;1.6;61.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.69;0.0;0.0;0.0;0.0;0.0
23;11-14;2.6;66.96;0.0;0.0;0.0;0.0;66.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;14-11;2.6;58.959999999999994;0.0;0.0;0.0;0.0;0.0;58.959999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;14-15;1.8;45.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.4;0.0
25;14-23;1.2;150.0;0.0;0.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;23-14;1.2;19.879999999999995;0.0;0.0;0.0;0.0;0.0;19.879999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;15-19;2.0;23.519999999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.519999999999992;0.0
27;15-22;1.2;77.26999999999964;0.0;0.0;0.0;0.0;0.0;0.0;77.26999999999964;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;16-17;1.2;93.32000000000001;0.0;0.0;93.32000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;17-16;1.2;97.84999999999997;0.0;0.0;0.0;97.84999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;18-16;2.0;53.540000000000006;0.0;53.540000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;19-17;1.4;125.30999999999999;0.0;0.0;0.0;87.80999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0
4;3-4;1.6;123.74000000000001;0.0;0.0;0.0;0.0;123.74000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;20-19;2.8;54.980000000000004;0.0;0.0;0.0;54.980000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;21-24;1.8;60.290000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.290000000000006;0.0;0.0;0.0;0.0
37;22-23;1.8;54.8;0.0;0.0;0.0;0.0;0.0;0.0;54.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;23-22;1.8;48.260000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.260000000000005;0.0;0.0;0.0;0.0;0.0;0.0
38;24-23;1.6;153.55;0.0;0.0;0.0;0.0;0.0;153.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
