source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;run_group_id;status_code;status;objective;runtime_s;opt_gap;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp;variant
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1025;1025;1;1;5;line_consecutive;0.5;1025;5;0;14-15;14;g_000;2;OPTIMAL;109352.69999999998;173.23559498786926;0.0;73084.51999999993;71005.57999999993;2078.9399999999955;0.0;15401.779999999995;20866.4;54676.34999999997;54676.34999999999;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1025;1025;1;1;5;line_consecutive;0.5;1025;5;0;14-15;14;g_000;2;OPTIMAL;109623.57;209.59325408935547;0.0;73237.41999999997;71039.41999999995;2197.9999999999995;0.0;15093.85;20915.8;54498.65000000002;55124.92000000001;376.5;0.0;376.5;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1025;1025;1;1;5;line_consecutive;0.5;1025;5;0;14-15;14;g_000;2;OPTIMAL;110088.84499999996;7.36332106590271;0.0;73401.15499999997;70704.52999999997;2696.624999999999;0.0;15415.09;20519.6;54425.06999999997;55663.775;752.9999999999999;0.0;752.9999999999999;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1025;1025;1;1;5;line_consecutive;0.5;1025;5;0;14-15;14;g_000;2;OPTIMAL;110088.845;9.853673934936523;0.0;73401.155;70704.53;2696.624999999998;0.0;15415.09;20519.6;54425.07;55663.775;752.9999999999999;0.0;752.9999999999999;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1029;1029;1;1;5;line_consecutive;0.5;1029;5;4;20-22;11;g_000;2;OPTIMAL;108850.13999999998;198.5617089271545;0.0;72676.01999999996;70403.47999999995;2272.5399999999954;0.0;15353.319999999994;20820.8;54425.07000000001;54425.06999999996;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1029;1029;1;1;5;line_consecutive;0.5;1029;5;4;20-22;11;g_000;2;OPTIMAL;108850.13999999534;140.41152715682983;0.0;72676.02000000299;70403.48000000406;2272.5399999989118;0.0;15353.319999992334;20820.8;54425.0699999972;54425.06999999811;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1029;1029;1;1;5;line_consecutive;0.5;1029;5;4;20-22;11;g_000;2;OPTIMAL;108850.13999999996;8.134570360183716;0.0;72676.01999999996;70403.47999999995;2272.539999999998;0.0;15353.32;20820.8;54425.06999999997;54425.06999999999;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1029;1029;1;1;5;line_consecutive;0.5;1029;5;4;20-22;11;g_000;2;OPTIMAL;108850.13999999998;6.602636098861694;0.0;72676.01999999997;70403.47999999998;2272.539999999999;0.0;15353.32;20820.8;54425.06999999999;54425.06999999999;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1063;1063;1;1;5;line_consecutive;0.5;1063;12;3;16-17;2,13;g_000;2;OPTIMAL;175402.12;603.7677891254425;0.0;117907.07999999996;115275.82999999996;2631.2499999999995;0.0;23311.839999999997;28869.200000000004;83762.09500000003;91640.02500000002;890.0;4424.0;5314.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1063;1063;1;1;5;line_consecutive;0.5;1063;12;3;16-17;2,13;g_000;2;OPTIMAL;175985.52499999932;1261.4717061519625;0.0;117204.805;114871.79499999998;2333.010000000004;0.0;23271.51999999927;29735.20000000001;83661.81999999925;92323.70499999996;1350.0;4424.0;5774.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1063;1063;1;1;5;line_consecutive;0.5;1063;12;3;16-17;2,13;g_000;2;OPTIMAL;177569.49499999994;156.941339969635;0.0;119059.555;115472.955;3586.6;260.09999999999815;23256.24;27733.6;83383.37999999998;94186.11499999998;2836.0;4424.0;7260.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1063;1063;1;1;5;line_consecutive;0.5;1063;12;3;16-17;2,13;g_000;2;OPTIMAL;177164.1;103.4166510105133;0.0;118469.88999999998;116049.4;2420.49;0.0;23677.009999999995;29703.200000000004;85145.36000000002;92018.74;890.0;4424.0;5314.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1030;1030;1;1;5;line_consecutive;0.5;1030;6;0;9-10;7,9;g_000;2;OPTIMAL;129432.90500000004;333.3853671550751;0.0;87006.055;84107.04999999999;2899.0050000000074;0.0;18165.25;23811.6;63867.32999999999;65565.57499999995;450.0;0.0;450.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1030;1030;1;1;5;line_consecutive;0.5;1030;6;0;9-10;7,9;g_000;2;OPTIMAL;129991.295;337.0090410709381;0.0;86710.185;83518.485;3191.699999999996;0.0;18250.310000000005;23320.799999999992;63606.499999999935;66384.79500000009;430.00000000000006;1280.0;1710.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1030;1030;1;1;5;line_consecutive;0.5;1030;6;0;9-10;7,9;g_000;2;OPTIMAL;132413.85;98.43755078315736;0.0;86638.30000000002;83542.99500000002;3095.3049999999994;0.0;17934.749999999996;23140.8;63166.900000000016;69246.95;3420.0;1280.0;4700.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1030;1030;1;1;5;line_consecutive;0.5;1030;6;0;9-10;7,9;g_000;2;OPTIMAL;132413.85;96.2241668701172;0.0;86638.30000000002;83542.995;3095.305;0.0;17934.75;23140.8;63166.90000000001;69246.95;3420.0;1280.0;4700.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1008;1008;1;1;5;line_consecutive;0.5;1008;1;3;22-23;5;g_000;2;OPTIMAL;28305.200000000004;34.5670850276947;0.0;15549.380000000005;14976.400000000003;572.9800000000017;0.0;4142.619999999999;8613.2;14152.600000000006;14152.600000000006;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1008;1008;1;1;5;line_consecutive;0.5;1008;1;3;22-23;5;g_000;2;OPTIMAL;28629.300000001684;35.031288146972656;0.0;15461.550000000008;14882.820000000009;578.7300000000005;0.0;4133.350000001679;9034.4;14314.650000000003;14314.650000001677;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1008;1008;1;1;5;line_consecutive;0.5;1008;1;3;22-23;5;g_000;2;OPTIMAL;29229.649973505177;1.1364569664001465;0.0;15596.169975850593;15011.6899773265;584.4799985240926;0.0;4144.379997654585;8402.6;13990.549973505174;15239.100000000002;1086.5;0.0;1086.5;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;25;50;10;10;16;1008;1008;1;1;5;line_consecutive;0.5;1008;1;3;22-23;5;g_000;2;OPTIMAL;29229.649972970376;1.1375181674957275;0.0;15596.169975311424;15011.689976792011;584.4799985194106;0.0;4144.379997658954;8402.6;13990.549972970372;15239.100000000002;1086.5;0.0;1086.5;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1027;1027;1;1;5;line_consecutive;0.5;1027;5;2;5-6;9;g_000;2;OPTIMAL;109552.06999999998;185.64767789840695;0.0;72964.84999999995;70653.32999999994;2311.519999999995;0.0;15435.619999999992;21151.6;54776.03499999999;54776.035;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1027;1027;1;1;5;line_consecutive;0.5;1027;5;2;5-6;9;g_000;2;OPTIMAL;110245.515;215.2547628879547;0.0;73237.14499999995;70919.54499999994;2317.6000000000004;0.0;15319.97;21238.4;54685.83999999997;55559.67499999999;450.0;0.0;450.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1027;1027;1;1;5;line_consecutive;0.5;1027;5;2;5-6;9;g_000;2;OPTIMAL;111508.38499999997;15.066457986831663;0.0;72768.28499999996;70365.84999999995;2402.4349999999995;1002.299999999999;15367.0;20640.8;54425.06999999997;57083.31499999999;450.0;1280.0;1730.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1027;1027;1;1;5;line_consecutive;0.5;1027;5;2;5-6;9;g_000;2;OPTIMAL;111508.38499999998;16.79180598258972;0.0;72768.28499999997;70365.84999999998;2402.4349999999995;1002.299999999999;15366.999999999998;20640.8;54425.06999999999;57083.31499999999;450.0;1280.0;1730.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1069;1069;1;1;5;line_consecutive;0.5;1069;13;4;5-9;3,9;g_000;2;OPTIMAL;174399.03499999997;566.7585780620575;0.0;119350.49499999992;116091.31999999992;3259.174999999999;0.0;23582.14;28456.4;85270.37999999993;89128.65500000001;450.0;2560.0;3010.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1069;1069;1;1;5;line_consecutive;0.5;1069;13;4;5-9;3,9;g_000;2;OPTIMAL;174930.51999999964;1530.168081998825;0.0;119216.97999999965;116192.21999999964;3024.7599999999984;464.0999999999983;23616.64;28172.8;85161.69999999997;89768.81999999967;900.0;2560.0;3460.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1069;1069;1;1;5;line_consecutive;0.5;1069;13;4;5-9;3,9;g_000;2;OPTIMAL;175762.3149999999;106.05701637268066;0.0;118786.05499999988;115866.80999999988;2919.244999999999;464.0999999999958;23441.36;27880.800000000003;84778.22999999988;90984.085;1350.0;3840.0;5190.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1069;1069;1;1;5;line_consecutive;0.5;1069;13;4;5-9;3,9;g_000;2;OPTIMAL;175256.9899999999;60.6606810092926;0.0;118902.06999999988;115633.2649999999;3268.8049999999976;464.1000000000017;23242.42;28338.4;84779.15999999992;90477.83;1750.0;2560.0;4310.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1017;1017;1;1;5;line_consecutive;0.5;1017;3;2;5-6;9;g_000;2;OPTIMAL;63825.7;75.06760287284851;0.0;40228.360000000015;39066.31500000002;1162.0450000000003;211.8000000000137;9391.139999999998;13994.4;31912.85000000001;31912.85000000001;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;75;50;10;10;16;1017;1017;1;1;5;line_consecutive;0.5;1017;3;2;5-6;9;g_000;2;OPTIMAL;63905.6;78.32856702804565;0.0;40361.92;39049.990000000005;1311.9299999999996;423.6000000000018;9477.68;13642.4;31952.800000000007;31952.800000000017;0.0;0.0;0.0;flat (waiting_freq=False)
