array_job_id;task_id;run_group_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;WS;RP;EEV_nom;EEV_mean;EVPI;VSS_nom;VSS_mean;procedures_present;source;network;scenario_line_data;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;demand_scale;scenario_infra_id;scenario_prob_id
14050803;0;g_000;1;1;30;line_consecutive;0.5;1000;0;0;19-23;11;106209.23200000002;106236.688;106236.688;106236.688;27.455999999976484;0.0;0.0;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1000;1000
14050803;1;g_000;1;1;30;line_consecutive;0.5;1001;0;1;15-21;7;106751.304;106751.304;106751.304;106751.304;0.0;0.0;0.0;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1001;1001
14050803;2;g_000;1;1;30;line_consecutive;0.5;1002;0;2;19-20;4;105866.416;105866.416;105866.416;105866.416;0.0;0.0;0.0;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1002;1002
14050803;3;g_000;1;1;30;line_consecutive;0.5;1003;0;3;3-8;6,12;106200.432;106200.43196054288;106200.432;106200.432;-3.945712524000555e-05;3.945712524000555e-05;3.945712524000555e-05;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1003;1003
14050803;4;g_000;1;1;30;line_consecutive;0.5;1004;0;4;14-19;4;106510.376;106510.376;106510.376;106510.376;0.0;0.0;0.0;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1004;1004
14050803;5;g_000;1;1;30;line_consecutive;0.5;1005;0;5;1-13;3;106560.576;106560.576;106560.5760000048;106560.5760000048;0.0;4.802132025361061e-09;4.802132025361061e-09;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1005;1005
14050803;6;g_000;1;1;30;line_consecutive;0.5;1006;0;6;8-21;12;105133.536;105133.53600000644;105133.536;105133.536;6.446498446166515e-09;-6.446498446166515e-09;-6.446498446166515e-09;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1006;1006
14050803;7;g_000;1;1;30;line_consecutive;0.5;1007;0;7;7-14;4;106941.29200000002;106941.29200000448;106941.292;106941.292;4.4674379751086235e-09;-4.48198989033699e-09;-4.48198989033699e-09;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1007;1007
14050803;8;g_000;1;1;30;line_consecutive;0.5;1008;0;8;18-23;2,11;108623.008;108766.64399999604;108766.644;110331.02000000002;143.63599999604048;3.958120942115784e-09;1564.3760000039763;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1008;1008
14050803;9;g_000;1;1;30;line_consecutive;0.5;1009;0;9;8-25;1;105665.712;105665.712;105665.712;105665.712;0.0;0.0;0.0;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1009;1009
14050803;10;g_000;1;1;30;line_consecutive;0.5;1010;0;10;28-30;3;106298.704;106298.70400000336;106298.704;106298.704;3.3614924177527424e-09;-3.3614924177527424e-09;-3.3614924177527424e-09;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1010;1010
14050803;11;g_000;1;1;30;line_consecutive;0.5;1011;0;11;5-8;6;105766.248;105766.24799999998;105766.248000003;105766.248000003;-2.9103830456733704e-11;3.026798367500305e-09;3.026798367500305e-09;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1011;1011
14050803;12;g_000;1;1;30;line_consecutive;0.5;1012;0;12;6-7;4,10;107179.632;107179.632;107179.632;107713.50600006442;0.0;0.0;533.8740000644175;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1012;1012
14050803;13;g_000;1;1;30;line_consecutive;0.5;1013;0;13;7-17;10;106302.158;106433.46794302152;106433.468;106433.468;131.30994302152249;5.697847518604249e-05;5.697847518604249e-05;eev,integrated,separated,ws;lintim;Mumford0;Mumford0;True;False;1e-05;12000;1;2;20;10;50;-5;50;0.75;2;50;50;10;10;16;0.0368;1013;1013
